reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
CA-1092,Zed Lake Provincial Park,56.911,-101.243,DO96jv,CA-MB,0,0,0,0,0
CA-1093,Antelope Lake Regional Park,50.276,-108.417,DO50sg,CA-SK,0,0,0,0,0
CA-1094,Assiniboia Regional Park,49.6108,-105.951,DN79ao,CA-SK,1,1,18,0,0
CA-1095,Atton's Lake Regional Park,52.8356,-108.861,DO52nu,CA-SK,2,2,33,0,0
CA-1096,Bengough Regional Park,49.3911,-105.127,DN79kj,CA-SK,4,4,75,0,0
CA-1097,Big River Regional Park,53.8379,-107.025,DO63lu,CA-SK,2,2,36,0,0
CA-1098,Brightsand Lake Regional Park,53.6436,-108.846,DO53np,CA-SK,1,1,24,0,0
CA-1099,Cabri Regional Park,50.6684,-108.267,DO50uq,CA-SK,1,1,20,0,0
CA-1100,Canwood Regional Park,53.3643,-106.542,DO63ri,CA-SK,1,1,20,0,0
CA-1101,Carlton Trail Regional Park,50.677,-101.699,DO90dq,CA-SK,1,1,19,0,0
CA-1102,Ceylon Regional Park,49.4625,-104.579,DN79rl,CA-SK,5,5,167,0,0
CA-1103,Clearwater Regional Park,50.8685,-107.928,DO60au,CA-SK,1,1,12,0,0
CA-1104,Craik Regional Park,51.0606,-105.798,DO71cb,CA-SK,4,4,184,0,0
CA-1105,Dunnet Regional Park,49.9927,-105.01,DN79lx,CA-SK,7,6,119,0,0
CA-1106,Eagle Creek Regional Park,52.2128,-107.4,DO62hf,CA-SK,1,1,15,0,0
CA-1107,Emerald Lake Regional Park,53.1785,-106.958,DO63me,CA-SK,1,1,10,0,0
CA-1108,Eston Riverside Regional Park,50.9642,-108.766,DO50ox,CA-SK,1,1,32,0,0
CA-1109,Glenburn Regional Park,52.4971,-107.7,DO62dl,CA-SK,1,1,31,0,0
CA-1110,Hudson Bay Regional Park,52.8254,-102.373,DO82tt,CA-SK,2,2,29,0,0
CA-1111,Ituna Regional Park,51.1574,-103.49,DO81gd,CA-SK,3,3,92,0,0
CA-1112,Jean Louis Legare Regional Park,49.3741,-105.657,DN79ei,CA-SK,0,0,0,0,0
CA-1113,Kemoca Regional Park,50.2143,-103.447,DO80gf,CA-SK,10,10,220,0,0
CA-1114,Kindersley Regional Park,51.4605,-109.146,DO51kl,CA-SK,2,2,75,0,0
CA-1115,Kipabiskau Regional Park,52.5748,-104.193,DO72vn,CA-SK,1,1,67,0,0
CA-1116,Lac Pelletier Regional Park,49.9842,-107.927,DN69ax,CA-SK,1,1,40,0,0
CA-1117,Lake Charron Regional Park,52.4112,-104.311,DO72uj,CA-SK,1,1,25,0,0
CA-1118,Last Mountain Regional Park,51.3537,-105.218,DO71ji,CA-SK,1,1,25,0,0
CA-1119,Leroy Leisureland Regional Park,51.9978,-104.834,DO71nx,CA-SK,0,0,0,0,0
CA-1121,Little Loon Regional Park,53.3546,-108.259,DO53ui,CA-SK,1,1,15,0,0
CA-1122,Lucien Lake Regional Park,52.4803,-105.317,DO72il,CA-SK,2,2,43,0,0
CA-1123,Macklin Lake Regional Park,52.3217,-109.94,DO52ah,CA-SK,3,3,189,0,0
CA-1124,Mainprize Regional Park,49.3699,-103.579,DN89fi,CA-SK,1,1,23,0,0
CA-1125,Manitou Regional Park,51.7154,-105.449,DO71gr,CA-SK,4,4,193,0,0
CA-1126,Martins Lake Regional Park,52.9955,-106.996,DO62mx,CA-SK,5,5,134,0,0
CA-1127,McLaren Lake Regional Park,50.2954,-109.884,DO50bh,CA-SK,2,2,86,0,0
CA-1128,McNab Regional Park,52.1227,-104.53,DO72rc,CA-SK,3,3,123,0,0
CA-1129,Meeting Lake Regional Park,53.203,-107.705,DO63de,CA-SK,2,1,52,0,0
CA-1130,Melville Regional Park,50.9369,-102.796,DO80ow,CA-SK,7,6,191,0,0
CA-1131,Memorial Lake Regional Park,53.3044,-107.064,DO63lh,CA-SK,2,2,28,0,0
CA-1132,Meota Regional Park,53.0342,-108.446,DO53sa,CA-SK,1,1,42,0,0
CA-1133,Moose Creek Regional Park,49.2939,-102.202,DN89vh,CA-SK,1,1,45,0,0
CA-1134,Moosomin Regional Park,50.0765,-101.708,DO90db,CA-SK,1,1,19,0,0
CA-1135,Morin Lake Regional Park,53.4978,-107.054,DO63ll,CA-SK,1,1,14,0,0
CA-1136,Nickle Lake Regional Park,49.5954,-103.778,DN89co,CA-SK,1,1,13,0,0
CA-1137,Nipawin Regional Park,53.3849,-104.008,DO73xj,CA-SK,5,5,269,0,0
CA-1138,Notukeu Regional Park,49.7481,-107.487,DN69gr,CA-SK,1,1,21,0,0
CA-1139,Ogema Regional Park,49.5722,-104.915,DN79nn,CA-SK,8,8,260,0,0
CA-1140,Oungre Memorial Regional Park,49.1645,-103.808,DN89cd,CA-SK,2,1,45,0,0
CA-1141,Palliser Regional Park,50.8729,-106.962,DO60mu,CA-SK,6,6,189,0,0
CA-1142,Pasquia Regional Park,53.1886,-103.582,DO83fe,CA-SK,0,0,0,0,0
CA-1143,Pine Cree Regional Park,49.6131,-108.761,DN59oo,CA-SK,4,4,195,0,0
CA-1144,Prairie Lake Regional Park,50.7091,-107.388,DO60hr,CA-SK,0,0,0,0,0
CA-1145,Radville-Laurier Regional Park,49.4576,-104.303,DN79uk,CA-SK,1,1,15,0,0
CA-1146,Redberry Lake Regional Park,52.7118,-107.217,DO62jr,CA-SK,2,2,110,0,0
CA-1147,Saltcoats Regional Park,51.0322,-102.153,DO81wa,CA-SK,1,1,53,0,0
CA-1148,Sandy Beach Regional Park,53.4498,-109.995,DO53ak,CA-SK,3,3,61,0,0
CA-1149,Shamrock Regional Park,50.0595,-106.467,DO60sb,CA-SK,3,3,154,0,0
CA-1150,Silver Lake Regional Park,53.228,-109.268,DO53if,CA-SK,1,1,22,0,0
CA-1151,St. Brieux Regional Park,52.6338,-104.905,DO72np,CA-SK,3,3,108,0,0
CA-1152,Struthers Lake Regional Park,52.8461,-105.239,DO72ju,CA-SK,3,3,54,0,0
CA-1153,Sturgeon Lake Regional Park,53.4224,-106.157,DO63wk,CA-SK,3,3,47,0,0
CA-1154,Sturgis Regional Park,52.0282,-102.652,DO82qa,CA-SK,0,0,0,0,0
CA-1155,Suffern Lake Regional Park,52.6403,-109.898,DO52bp,CA-SK,1,1,35,0,0
CA-1156,Thomas Lake Regional Park,49.7706,-106.573,DN69rs,CA-SK,1,1,54,0,0
CA-1157,Valley - Rosthern Regional Park,52.6804,-106.302,DO62uq,CA-SK,12,12,256,0,0
CA-1158,Wakaw Lake Regional Park,52.6669,-105.609,DO72eq,CA-SK,5,5,230,0,0
CA-1159,Wapiti Valley Regional Park,53.236,-104.462,DO73sf,CA-SK,2,1,26,0,0
CA-1160,Welwyn Centennial Regional Park,50.3407,-101.52,DO90fi,CA-SK,1,1,13,0,0
CA-1161,Whitesand Regional Park,51.4922,-102.895,DO81nl,CA-SK,3,3,41,0,0
CA-1162,York Lake Regional Park,51.1652,-102.489,DO81sd,CA-SK,7,7,177,0,0
CA-1163,Aspen Beach Provincial Park,52.458,-113.968,DO32ak,CA-AB,10,8,139,0,0
CA-1164,Beaver Lake Provincial Recreation Area,54.7598,-111.988,DO44as,CA-AB,4,4,95,0,0
CA-1165,Beaverdam Provincial Recreation Area,52.493,-116.014,DO12xl,CA-AB,1,1,17,0,0
CA-1166,Calhoun Bay Provincial Recreation Area,52.9832,-114.728,DO22px,CA-AB,2,2,49,0,0
CA-1167,Canmore Nordic Centre Provincial Park,51.0903,-115.386,DO21hc,CA-AB,18,18,520,1,0
CA-1168,Chain Lakes Provincial Park,50.2163,-114.195,DO20vf,CA-AB,25,25,672,4,0
CA-1169,Chambers Creek Provincial Recreation Area,52.451,-115.307,DO22ik,CA-AB,2,2,72,0,0
CA-1170,Chinook Provincial Recreation Area,49.6704,-114.605,DN29qq,CA-AB,3,3,35,1,0
CA-1171,Cold Lake Provincial Park,54.4694,-110.124,DO44wl,CA-AB,6,5,148,0,0
CA-1172,Crescent Falls Provincial Recreation Area,52.3874,-116.357,DO12tj,CA-AB,1,1,36,0,0
CA-1173,Cross Lake Provincial Park,54.6535,-113.797,DO34cp,CA-AB,9,8,384,0,0
CA-1174,Crow Lake Provincial Park,55.8078,-112.184,DO35vt,CA-AB,1,1,10,0,0
CA-1175,Dry Haven Provincial Recreation Area,52.4297,-116.207,DO12vk,CA-AB,2,2,44,0,0
CA-1176,Dutch Creek Provincial Recreation Area,49.9045,-114.394,DN29tv,CA-AB,2,2,30,0,0
CA-1177,Elbow Falls Provincial Recreation Area,50.8679,-114.779,DO20ou,CA-AB,8,8,185,1,0
CA-1178,Engstrom Lake Provincial Recreation Area,56.1952,-110.896,DO46ne,CA-AB,10,7,171,0,0
CA-1179,Garner Lake Provincial Park,54.1802,-111.732,DO44de,CA-AB,5,5,638,0,0
CA-1180,Jarvis Bay Provincial Park,52.3441,-114.085,DO22wi,CA-AB,8,7,425,0,0
CA-1181,Kinbrook Island Provincial Park,50.4479,-111.911,DO40bk,CA-AB,7,4,102,1,0
