reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
CA-0001,Alaksen National Wildlife Area,49.1013,-123.173,CN89jc,CA-BC,12,10,354,0,0
CA-0002,Aulavik National Park,72.0357,-125.264,CQ72ia,CA-NT,0,0,0,0,0
CA-0003,Auyuittuq National Park,67.4895,-66.056,FP67xl,CA-NU,0,0,0,0,0
CA-0004,Baie de l'Isle-Verte National Wildlife Area,48.0213,-69.3416,FN58ha,CA-QC,43,43,943,0,0
CA-0005,Banff National Park,51.4968,-115.928,DO21al,CA-AB,126,105,2287,1,0
CA-0006,Big Creek National Wildlife Area,42.5936,-80.4487,EN92so,CA-ON,15,14,510,0,0
CA-0007,Blue Quills National Wildlife Area,53.9997,-111.385,DO43hx,CA-AB,1,1,24,0,0
CA-0008,Boot Island National Wildlife Area,45.1413,-64.2655,FN75ud,CA-NS,0,0,0,0,0
CA-0009,Bradwell National Wildlife Area,51.9078,-106.252,DO61uv,CA-SK,3,3,104,0,0
CA-0010,Bruce Peninsula National Park,45.2265,-81.523,EN95ff,CA-ON,40,38,1387,0,0
CA-0011,CFB Suffield National Wildlife Area,50.4789,-110.506,DO40rl,CA-AB,0,0,0,0,0
CA-0012,Cap Tourmente National Wildlife Area,47.0642,-70.7964,FN47ob,CA-QC,15,13,281,0,0
CA-0013,Cape Breton Highlands National Park,46.7383,-60.651,FN96qr,CA-NS,37,36,983,0,0
CA-0014,Cape Jourimain National Wildlife Area,46.1519,-63.8225,FN86cd,CA-NB,17,17,1120,0,0
CA-0015,Charlevoix Biosphere Reserve,47.6667,-70.55,FN47rq,CA-QC,8,7,206,0,0
CA-0016,Chignecto National Wildlife Area,45.7972,-64.2601,FN75ut,CA-NS,10,10,672,0,0
CA-0017,Clayoquot Sound Biosphere Reserve,49.2833,-126,CN79ag,CA-BC,17,15,599,0,0
CA-0018,Columbia National Wildlife Area,50.8044,-116.272,DO10ut,CA-BC,2,2,213,0,0
CA-0020,Elk Island National Park,53.6206,-112.869,DO33no,CA-AB,77,69,3144,1,0
CA-0021,Fathom Five National Park,45.2572,-81.6564,EN95eg,CA-ON,17,16,508,0,0
CA-0022,Forillon National Park,48.9595,-64.3359,FN78tx,CA-QC,13,11,349,0,0
CA-0023,Frontenac Arch Biosphere Reserve,44.3333,-76.1667,FN14vh,CA-ON,318,296,12361,0,0
CA-0024,Fundy Biosphere Reserve,45.61,-65.0299,FN75lo,CA-NB,121,118,14806,0,0
CA-0025,Fundy National Park,45.5963,-64.9507,FN75mo,CA-NB,50,45,1965,0,0
CA-0026,Georgian Bay Islands National Park,44.8743,-79.87,FN04bu,CA-ON,11,11,460,0,0
CA-0027,Georgian Bay Littoral Biosphere Reserve,45.2062,-80.167,EN95ve,CA-ON,80,79,5686,0,0
CA-0028,Glacier National Park,51.3353,-117.53,DO11fi,CA-BC,19,11,268,1,0
CA-0029,Grasslands National Park,49.1286,-107.426,DN69gd,CA-SK,21,21,544,0,0
CA-0030,Gros Morne National Park,49.652,-57.7558,GN19cp,CA-NL,59,53,1506,0,0
CA-0031,Gulf Islands National Park,48.745,-123.22,CN88jr,CA-BC,61,57,1641,0,0
CA-0032,Gwaii Haanas and Haida National Park,52.4683,-131.558,CO42fl,CA-BC,0,0,0,0,0
CA-0033,Île Bonaventure et du Rocher Perce National Park,48.5229,-64.2116,FN78vm,CA-QC,1,1,54,0,0
CA-0034,Île-Brion Ecological Reserve,47.7982,-61.4561,FN97gt,CA-QC,0,0,0,0,0
CA-0035,Île d'Anticosti National Park,49.5985,-62.6866,FN89po,CA-QC,4,4,76,0,0
CA-0036,Îles de Contrecoeur National Wildlife Area,45.8512,-73.2591,FN35iu,CA-QC,1,1,16,0,0
CA-0037,Îles de l'Estuaire National Wildlife Area,47.6009,-69.8814,FN57bo,CA-QC,0,0,0,0,0
CA-0038,Îles de la Paix National Wildlife Area,45.334,-73.8459,FN35bi,CA-QC,1,1,19,0,0
CA-0039,Ivvavik National Park,69.0942,-139.834,CP09bc,CA-YT,0,0,0,0,0
CA-0040,Jasper National Park,52.8734,-117.954,DO12au,CA-AB,96,82,2315,0,0
CA-0041,John Lusby Marsh National Wildlife Area,45.812,-64.2642,FN75ut,CA-NS,2,2,91,0,0
CA-0042,Kejimkujik National Park,44.4388,-65.2089,FN74jk,CA-NS,166,158,18673,0,1
CA-0043,Kejimkujik Seaside Adjunct National Park,43.8383,-64.8562,FN73nu,CA-NS,11,10,245,0,0
CA-0044,Kluane National Park,60.75,-139.5,CP00gs,CA-YT,18,16,465,0,0
CA-0045,Kootenay National Park,50.9769,-115.959,DO20ax,CA-BC,23,20,506,2,0
CA-0046,Kouchibouguac National Park,46.7771,-65.0049,FN76ls,CA-NB,31,31,3172,0,1
CA-0047,La Mauricie National Park,46.7338,-72.7685,FN36or,CA-QC,21,20,842,0,0
CA-0048,Lac-Saint-François National Wildlife Area,45.0431,-74.4657,FN25sb,CA-QC,23,23,1353,0,0
CA-0049,Lac Saint-Pierre Biosphere Reserve,46.0811,-72.9629,FN36mb,CA-QC,20,18,558,0,0
CA-0050,Lake Superior National Marine Area,49.0125,-88.2621,EN59ua,CA-ON,15,15,338,0,0
CA-0051,Last Mountain Lake National Wildlife Area,51.4206,-105.226,DO71jk,CA-SK,3,3,90,0,0
CA-0052,Long Point Biosphere Reserve,42.5809,-80.4107,EN92tn,CA-ON,28,24,1255,0,0
CA-0053,Long Point National Wildlife Area,42.5761,-80.3725,EN92tn,CA-ON,12,11,463,0,0
CA-0054,Manicouagan-Uapishka (Monts Groulx) Biosphere Reserve,49.24,-68.1399,FN59wf,CA-QC,6,5,93,0,0
CA-0055,Meanook National Wildlife Area,54.6143,-113.346,DO34ho,CA-AB,2,2,50,0,0
CA-0056,Mingan Archipelago National Park Reserve,50.2112,-63.6189,FO80ef,CA-QC,44,44,19719,0,0
CA-0057,Mississippi Lake National Wildlife Area,45.0297,-76.228,FN15va,CA-ON,19,18,792,0,0
CA-0058,Mohawk Island National Wildlife Area,42.8347,-79.5228,FN02fu,CA-ON,6,6,247,0,0
CA-0059,Mont Saint Hilaire Biosphere Reserve,45.5363,-73.1578,FN35km,CA-QC,73,64,3209,0,0
CA-0060,Mount Arrowsmith Biosphere Reserve,49.25,-124.383,CN79tg,CA-BC,246,219,8074,0,0
CA-0061,Mount Revelstoke National Park,51.0835,-118,DO11ac,CA-BC,18,17,280,0,0
CA-0062,Nahanni National Park Reserve,61.5007,-125.5,CP71gm,CA-NT,1,0,1,0,0
CA-0063,Niagara Escarpment Biosphere Reserve,43.6371,-79.979,FN03ap,CA-ON,1479,1463,69922,0,5
CA-0064,Nirjutiqavvik National Wildlife Area,75.9505,-79.2085,FQ05jw,CA-NU,0,0,0,0,0
CA-0065,Nisutlin River Delta National Wildlife Area,60.2289,-132.565,CP30rf,CA-YT,1,1,13,0,0
CA-0066,Pacific Rim National Park Reserve,48.7919,-125.156,CN78kt,CA-BC,38,33,750,0,0
CA-0067,Point Pelee National Park,41.9776,-82.5184,EN81rx,CA-ON,33,31,826,0,0
CA-0068,Pointe-au-Père National Wildlife Area,48.5136,-68.47,FN58sm,CA-QC,6,6,175,0,0
CA-0069,Pointe de l'Est National Wildlife Area,47.5851,-61.4791,FN97go,CA-QC,4,4,302,0,0
CA-0070,Polar Bear Pass National Wildlife Area,75.6769,-99.2155,EQ05jq,CA-NU,0,0,0,0,0
CA-0071,Pope National Wildlife Area,50.1147,-100.675,DO90pc,CA-MB,0,0,0,0,0
CA-0072,Portage Island National Wildlife Area,47.1667,-65.0333,FN77le,CA-NB,0,0,0,0,0
CA-0073,Portobello Creek National Wildlife Area,45.9133,-66.361,FN65tv,CA-NB,1,1,12,0,0
CA-0074,Prairie Unit number 01 National Wildlife Area,52.074,-102.13,DO82wb,CA-SK,1,1,17,0,0
CA-0075,Prince Albert National Park,53.9228,-106.083,DO63xw,CA-SK,30,26,777,0,0
CA-0076,Prince Edward Island National Park,46.4172,-63.074,FN86lk,CA-PE,89,81,2913,0,0
CA-0077,Prince Edward Point National Wildlife Area,43.9358,-76.8835,FN13nw,CA-ON,12,12,536,0,0
CA-0078,Pukaskwa National Park,48.2457,-85.8878,EN78bf,CA-ON,10,10,223,0,0
CA-0079,Qualicum National Wildlife Area,49.2662,-124.191,CN79vg,CA-BC,25,24,702,0,0
CA-0080,Quttinirpaaq National Park,82.079,-70.907,FR42nb,CA-NU,0,0,0,0,0
CA-0081,Raven Island National Wildlife Area,52.4382,-104.997,DO72mk,CA-SK,0,0,0,0,0
CA-0082,Redberry Lake Biosphere Reserve,52.7124,-107.215,DO62jr,CA-SK,2,2,110,0,0
CA-0083,Riding Mountain Biosphere Reserve,50.5003,-99.9124,EO00bm,CA-MB,6,4,220,0,0
CA-0084,Riding Mountain National Park,50.6583,-99.9715,EO00ap,CA-MB,29,26,1187,0,0
CA-0085,Rockwood National Wildlife Area,50.2819,-97.1555,EO10kg,CA-MB,1,1,10,0,0
CA-0086,Saguenay-St. Lawrence National Marine Park,47.7383,-69.9899,FN57ar,CA-QC,25,24,1017,0,0
CA-0087,Sand Pond National Wildlife Area,43.8086,-65.8261,FN73ct,CA-NS,0,0,0,0,0
CA-0089,Sea Wolf Island National Wildlife Area,46.3589,-61.2599,FN96ii,CA-NS,0,0,0,0,0
CA-0090,Shepody National Wildlife Area,45.7038,-64.7722,FN75oq,CA-NB,9,9,958,0,0
CA-0091,Sirmilik National Park,72.9279,-80.9377,EQ92mw,CA-NU,0,0,0,0,0
CA-0092,South West Nova Biosphere Reserve,44.2167,-65.8333,FN74cf,CA-NS,61,59,2842,0,0
CA-0093,Spiers Lake National Wildlife Area,51.9217,-112.242,DO31vw,CA-AB,2,2,23,0,0
CA-0094,St. Clair National Wildlife Area,42.3694,-82.4031,EN82ti,CA-ON,7,7,331,0,0
CA-0095,St. Denis National Wildlife Area,52.2088,-106.093,DO62wf,CA-SK,2,2,97,0,0
CA-0096,Stalwart National Wildlife Area,51.2167,-105.417,DO71gf,CA-SK,2,2,69,0,0
CA-0097,Terra Nova National Park,48.5113,-53.9598,GN38am,CA-NL,17,17,669,0,0
CA-0098,Thaidene Nene National Park Reserve,62.8568,-108.522,DP52ru,CA-NT,0,0,0,0,0
CA-0099,Thousand Islands National Park,44.4524,-75.8606,FN24bk,CA-ON,91,86,4714,0,0
CA-0100,Tintamarre National Wildlife Area,45.9521,-64.257,FN75uw,CA-NB,6,6,175,0,0
CA-0101,Torngat Mountains National Park,59.2068,-64.1502,FO79we,CA-NL,0,0,0,0,0
CA-0102,Tuktut Nogait National Park,68.8187,-121.749,CP98dt,CA-NT,0,0,0,0,0
CA-0103,Tway Lake National Wildlife Area,52.75,-105.417,DO72gs,CA-SK,3,3,79,0,0
CA-0104,Ukkusiksalik National Park,66.0455,-88.9886,EP56mb,CA-NU,0,0,0,0,0
CA-0105,Vaseux-Bighorn National Wildlife Area,49.2856,-119.539,DN09fg,CA-BC,2,2,24,1,0
CA-0106,Vuntut National Park,68.3849,-139.858,CP08bj,CA-YT,0,0,0,0,0
CA-0107,Wallace Bay National Wildlife Area,45.8262,-63.5793,FN85ft,CA-NS,7,7,822,0,0
CA-0108,Wapusk National Park,57.8067,-93.3124,EO37it,CA-MB,0,0,0,0,0
CA-0109,Waterton Biosphere Reserve,49.4652,-113.993,DN39al,CA-AB,15,13,448,0,0
CA-0110,Waterton Lakes National Park,49.13,-113.854,DN39bd,CA-AB,31,28,570,2,0
CA-0111,Webb National Wildlife Area,50.205,-108.152,DO50we,CA-SK,4,4,97,0,0
CA-0113,Whitemouth Bog National Wildlife Area,50.0167,-95.9333,EO20aa,CA-MB,1,1,40,0,0
CA-0114,Widgeon Valley National Wildlife Area,49.3667,-122.633,CN89qi,CA-BC,1,1,12,0,0
CA-0115,Wood Buffalo National Park,59.4395,-112.876,DO39nk,"CA-AB,CA-NT",4,4,68,0,0
CA-0116,Wye Marsh National Wildlife Area,44.7333,-79.8333,FN04cr,CA-ON,58,57,1818,0,0
CA-0117,Yoho National Park,51.383,-116.531,DO11rj,CA-BC,28,22,428,0,0
CA-0118,Dinosaur Provincial Park,50.7622,-111.518,DO40fs,CA-AB,14,13,476,3,0
CA-0120,Sable Island National Park,43.9333,-59.9333,GN03aw,CA-SI,67,67,213262,0,0
CA-0121,Nááts'ihch'oh National Park Reserve,62.375,-127.958,CP62aj,CA-NT,0,0,0,0,0
CA-0122,St. Paul Island National Wildlife Area,47.2,-60.15,FN97we,CA-SP,69,68,252564,0,1
CA-0123,Akpait National Wildlife Area,66.9336,-61.7647,FP96cw,CA-NU,0,0,0,0,0
CA-0124,Niginganiq National Wildlife Area,69.6177,-67.547,FP69fo,CA-NU,0,0,0,0,0
CA-0125,Pingo National Landmark Natural Area,69.3997,-133.08,CP39lj,CA-NT,4,4,99,0,0
CA-0126,Qaqulluit National Wildlife Area,67.2333,-62.4667,FP87sf,CA-NU,0,0,0,0,0
CA-0127,Qausuittuq National Park,76.031,-101.03,DQ96la,CA-NU,0,0,0,0,0
CA-0128,Rouge Urban National Park,43.8611,-79.212,FN03ju,CA-ON,236,231,9205,0,0
CA-0129,Ulittaniujalik National Park,56.9756,-64.9242,FO76mx,CA-QC,0,0,0,0,0
CA-0130,Aaron Provincial Park,49.7603,-92.6561,EN39qs,CA-ON,28,27,1115,0,0
CA-0131,Abitibi-De-Troyes Provincial Park,48.7906,-80.0339,EN98xs,CA-ON,0,0,0,0,0
CA-0132,Adam Creek Provincial Park,50.2378,-82.1011,EO80wf,CA-ON,0,0,0,0,0
CA-0133,Agassiz Peatlands Provincial Park,48.8489,-94.4936,EN28su,CA-ON,0,0,0,0,0
CA-0134,Albany River Provincial Park,51.3625,-87.775,EO61ci,CA-ON,0,0,0,0,0
CA-0135,Albert Lake Mesa Provincial Park,49.0947,-88.9791,EN59mc,CA-ON,1,1,50,0,0
CA-0136,Alexander Stewart Provincial Park,45.4292,-76.4974,FN15sk,CA-ON,15,14,1153,0,0
CA-0137,Algoma Headwaters Provincial Park,47.2273,-83.6282,EN87ef,CA-ON,0,0,0,0,0
CA-0138,Algonquin Provincial Park,45.5372,-78.2647,FN05um,CA-ON,211,174,6917,0,0
CA-0139,Arrow Lake Provincial Park,48.1771,-90.2273,EN48ve,CA-ON,33,33,950,0,0
CA-0140,Arrowhead Provincial Park,45.3917,-79.1986,FN05jj,CA-ON,92,86,4956,0,0
CA-0141,Arrowhead Peninsula Provincial Park,48.2577,-90.671,EN48pg,CA-ON,5,5,71,0,0
CA-0142,Aubinadong-Nushatogaini Rivers Provincial Park,46.9685,-83.5143,EN86fx,CA-ON,1,1,21,0,0
CA-0143,Aubrey Falls Provincial Park,46.9817,-83.1682,EN86jx,CA-ON,5,5,79,0,0
CA-0144,Awenda Provincial Park,44.8437,-80.0027,EN94xu,CA-ON,153,153,8361,0,0
CA-0145,Balsam Lake Provincial Park,44.6255,-78.8574,FN04np,CA-ON,47,46,2585,0,0
CA-0146,Bass Lake Provincial Park,44.6024,-79.4854,FN04go,CA-ON,244,237,9543,0,0
CA-0147,Batchawana Bay Provincial Park,46.9442,-84.551,EN76rw,CA-ON,21,19,463,0,0
CA-0148,Bayview Escarpment Provincial Park,44.6329,-80.7084,EN94pp,CA-ON,22,19,655,0,0
CA-0149,Beattie Pinery Provincial Park,44.1239,-79.8593,FN04bc,CA-ON,44,44,2799,0,0
CA-0150,Beckett Creek Migratory Bird Sanctuary,45.5065,-75.3361,FN25hm,CA-ON,11,11,374,0,0
CA-0151,Bell Bay Provincial Park,45.498,-77.861,FN15bl,CA-ON,5,5,218,0,0
CA-0152,Big East River Provincial Park,45.4789,-79.0304,FN05ll,CA-ON,9,9,388,0,0
CA-0153,Bigwind Lake Provincial Park,45.0725,-79.0275,FN05lb,CA-ON,17,17,1096,0,0
CA-0154,Biscotasi Lake Provincial Park,47.3525,-81.9975,EN97ai,CA-ON,0,0,0,0,0
CA-0155,Black Creek Provincial Park,44.9682,-81.3622,EN94hx,CA-ON,18,16,404,0,0
CA-0156,Black Sturgeon River Provincial Park,49.2297,-88.7082,EN59pf,CA-ON,1,1,10,0,0
CA-0157,Blind River Provincial Park,46.5033,-82.9105,EN86nm,CA-ON,1,1,49,0,0
CA-0158,Blue Jay Creek Provincial Park,45.5751,-82.0831,EN85xn,CA-ON,1,1,27,0,0
CA-0159,Blue Lake Provincial Park,49.9041,-93.4692,EN39gv,CA-ON,7,5,143,0,0
CA-0160,Bon Echo Provincial Park,44.8972,-77.2095,FN14jv,CA-ON,47,41,1107,0,0
CA-0161,Bonheur River Kame Provincial Park,49.4008,-91.2318,EN49jj,CA-ON,0,0,0,0,0
CA-0162,Bonnechere Provincial Park,45.6573,-77.5789,FN15fp,CA-ON,23,23,1380,0,0
CA-0163,Bonnechere River Provincial Park,45.6772,-77.6789,FN15dq,CA-ON,7,7,293,0,0
CA-0164,Boyne Valley Provincial Park,44.1082,-80.1275,EN94wc,CA-ON,17,16,523,0,0
CA-0165,Brightsand River Provincial Park,49.9545,-90.2612,EN49uw,CA-ON,0,0,0,0,0
CA-0166,Bronte Creek Provincial Park,43.4068,-79.7689,FN03cj,CA-ON,164,158,7570,0,3
CA-0167,Butler Lake Provincial Park,49.6966,-92.7191,EN39pq,CA-ON,0,0,0,0,0
CA-0168,Cabot Head Provincial Park,45.2102,-81.4277,EN95gf,CA-ON,14,12,629,0,0
CA-0169,Caliper Lake Provincial Park,49.069,-93.9041,EN39bb,CA-ON,2,2,37,0,0
CA-0170,Carden Alvar Provincial Park,44.6486,-79.0322,FN04lp,CA-ON,29,28,1965,0,0
CA-0171,Carson Lake Provincial Park,45.5009,-77.747,FN15dm,CA-ON,9,9,279,0,0
CA-0172,Castle Creek Provincial Park,48.1947,-90.0597,EN48xe,CA-ON,54,54,1050,0,1
CA-0173,Cavern Lake Provincial Park,48.8395,-88.6836,EN58pu,CA-ON,0,0,0,0,0
CA-0174,Cedar Creek Provincial Park,42.0427,-82.8302,EN82ob,CA-ON,6,6,190,0,0
CA-0175,Centennial Lake Provincial Park,45.2372,-76.9932,FN15mf,CA-ON,5,5,157,0,0
CA-0176,Chantry Island Migratory Bird Sanctuary,44.4908,-81.4038,EN94hl,CA-ON,2,2,92,0,0
CA-0177,Chapleau Crown Game Preserve,47.8516,-83.4267,EN87gu,CA-ON,31,31,2730,0,0
CA-0178,Chapleau-Nemegosenda River Provincial Park,48.2572,-83.0335,EN88lg,CA-ON,4,3,95,0,0
CA-0179,Charleston Lake Provincial Park,44.5018,-76.0413,FN14xm,CA-ON,45,34,1342,0,0
CA-0180,Chiniguchi Waterway Provincial Park,46.8224,-80.5014,EN96rt,CA-ON,1,1,13,0,0
CA-0181,Chutes Provincial Park,46.2219,-82.0719,EN86xf,CA-ON,29,25,664,0,0
CA-0182,Clear Creek Forest Provincial Park,42.4519,-81.6989,EN92dk,CA-ON,13,12,312,0,0
CA-0183,Coral Rapids Provincial Park,50.2702,-81.6423,EO90eg,CA-ON,0,0,0,0,0
CA-0184,Craigleith Provincial Park,44.5362,-80.349,EN94tm,CA-ON,43,41,1689,0,0
CA-0185,Craig's Pit Provincial Park,48.688,-86.3399,EN68tq,CA-ON,0,0,0,0,0
CA-0186,Cranberry Lake Provincial Park,48.8591,-94.3514,EN28tu,CA-ON,0,0,0,0,0
CA-0187,Daisy Lake Uplands Provincial Park,46.4589,-80.8855,EN96nl,CA-ON,3,3,69,0,0
CA-0188,Dana-Jowsey Lakes Provincial Park,48.3383,-81.8104,EN98ci,CA-ON,23,21,1264,0,0
CA-0189,Darlington Provincial Park,43.8727,-78.7795,FN03ou,CA-ON,134,132,4202,0,0
CA-0190,Devils Glen Provincial Park,44.3566,-80.2172,EN94vi,CA-ON,47,47,3158,0,0
CA-0191,Devon Road Mesa Provincial Park,48.0493,-89.6692,EN58db,CA-ON,2,2,78,0,0
CA-0192,Divide Ridge Provincial Park,48.2667,-89.9866,EN58ag,CA-ON,2,2,50,0,0
CA-0193,Dividing Lake Provincial Park,45.3992,-78.6078,FN05qj,CA-ON,9,9,447,0,0
CA-0194,Driftwood Provincial Park,46.1859,-77.8468,FN16be,CA-ON,14,14,414,0,0
CA-0195,Morning Glory Provincial Nature Reserve,44.3329,-79.239,FN04jh,CA-ON,29,27,935,0,0
CA-0196,Duncan Escarpment Provincial Park,44.4172,-80.466,EN94sk,CA-ON,17,17,513,0,0
CA-0197,Eagle Dogtooth Provincial Park,49.6966,-94.0531,EN29xq,CA-ON,2,2,46,0,0
CA-0198,Earl Rowe Provincial Park,44.1598,-79.8998,FN04bd,CA-ON,56,54,3125,0,0
CA-0199,East English River Provincial Park,49.77,-91.5127,EN49fs,CA-ON,0,0,0,0,0
CA-0200,East Sister Island Provincial Park,41.8129,-82.8563,EN81nt,CA-ON,6,6,1140,0,0
CA-0201,Edward Island Provincial Park,48.3838,-88.6404,EN58qj,CA-ON,0,0,0,0,0
CA-0202,Egan Chutes Provincial Park,45.0691,-77.7328,FN15db,CA-ON,10,9,340,0,0
CA-0204,Emily Provincial Park,44.3405,-78.5343,FN04ri,CA-ON,52,51,1878,0,0
CA-0205,Englehart River Fine Sand Plain and Waterway Provincial Park,47.9061,-80.2513,EN97uv,CA-ON,1,1,15,0,0
CA-0206,Esker Lakes Provincial Park,48.2819,-79.8725,FN08bg,CA-ON,8,8,236,0,0
CA-0207,Fairbank Provincial Park,46.4722,-81.4396,EN96gl,CA-ON,8,8,146,0,0
CA-0208,Fawn River Provincial Park,53.8433,-90.0938,EO43wu,CA-ON,0,0,0,0,0
CA-0209,Ferris Provincial Park,44.2908,-77.7858,FN14cg,CA-ON,69,65,2054,0,0
CA-0210,Finlayson Point Provincial Park,47.055,-79.8045,FN07cb,CA-ON,10,10,277,0,0
CA-0211,Fish Point Provincial Park,41.7352,-82.6724,EN81pr,CA-ON,14,10,296,0,0
CA-0212,Fitzroy Provincial Park,45.482,-76.2138,FN15vl,CA-ON,38,33,2026,0,0
CA-0213,Five Mile Lake Provincial Park,47.5724,-83.2296,EN87jn,CA-ON,4,4,171,0,0
CA-0214,Forks of the Credit Provincial Park,43.833,-80.0114,EN93xt,CA-ON,28,27,901,0,0
CA-0215,Foy Provincial Park,45.6566,-77.5061,FN15fp,CA-ON,6,6,218,0,0
CA-0216,Fraleigh Lake Provincial Park,48.1992,-89.8528,EN58be,CA-ON,2,2,22,0,0
CA-0217,Frederick House Lake Provincial Park,48.6814,-80.9642,EN98mq,CA-ON,2,2,184,0,0
CA-0218,French River Provincial Park,46.018,-80.5838,EN96qa,CA-ON,14,14,371,0,0
CA-0219,Frontenac Provincial Park,44.5042,-76.5558,FN14rm,CA-ON,46,36,1109,0,0
CA-0220,Fushimi Lake Provincial Park,49.8381,-83.9225,EN89au,CA-ON,6,5,187,0,0
CA-0221,Gibson River Provincial Park,44.9339,-79.6937,FN04dw,CA-ON,3,3,193,0,0
CA-0222,Gravel River Provincial Park,48.9194,-87.7555,EN68cw,CA-ON,2,2,20,0,0
CA-0223,Greenwater Provincial Park,49.1784,-81.2722,EN99ie,CA-ON,3,3,73,0,0
CA-0224,Grundy Lake Provincial Park,45.9177,-80.5593,EN95rw,CA-ON,44,42,1087,0,0
CA-0225,Halfway Lake Provincial Park,46.9006,-81.6586,EN96ev,CA-ON,9,9,227,0,0
CA-0226,Hannah Bay Migratory Bird Sanctuary,51.3519,-79.6545,FO01ei,CA-ON,0,0,0,0,0
CA-0227,Hardy Lake Provincial Park,45.0095,-79.5245,FN05fa,CA-ON,18,18,969,0,0
CA-0228,Hicks-Oke Bog Provincial Park,48.9101,-82.0732,EN88xv,CA-ON,0,0,0,0,0
CA-0229,Hockley Valley Provincial Park,43.9865,-80.0626,EN93xx,CA-ON,12,11,271,0,0
CA-0230,Holland Landing Prairie Provincial Park,44.1213,-79.4904,FN04gc,CA-ON,24,24,1319,0,0
CA-0231,Hope Bay Forest Provincial Park,44.9228,-81.1568,EN94kw,CA-ON,5,4,77,0,0
CA-0232,Indian Point Provincial Park,44.6327,-78.8229,FN04op,CA-ON,47,46,2309,0,0
CA-0233,Inverhuron Provincial Park,44.2998,-81.5879,EN94eh,CA-ON,131,118,3726,0,0
CA-0234,Ipperwash Dunes & Swales Nature Reserve,43.2061,-81.9701,EN93ae,CA-ON,19,19,419,0,0
CA-0235,Ira Lake Provincial Park,45.04,-81.3647,EN95ha,CA-ON,2,2,81,0,0
CA-0236,Ivanhoe Lake Provincial Park,48.1759,-82.5012,EN88re,CA-ON,6,6,262,0,0
CA-0237,J. Albert Bauer Provincial Park,45.4024,-79.0189,FN05lj,CA-ON,5,5,278,0,0
CA-0238,James N. Allan Provincial Park,42.8508,-79.6626,FN02eu,CA-ON,18,17,546,0,0
CA-0239,Jocko Rivers Provincial Park,46.6489,-79.2694,FN06ip,CA-ON,1,1,31,0,0
CA-0240,John E. Pearce Provincial Park,42.605,-81.4448,EN92go,CA-ON,11,11,364,0,0
CA-0241,Johnston Harbour-Pine Tree Point Provincial Park,45.1056,-81.5061,EN95fc,CA-ON,10,10,384,0,0
CA-0242,Kabitotikwia River Provincial Park,49.7028,-89.0807,EN59lq,CA-ON,0,0,0,0,0
CA-0243,Kaiashk Provincial Park,49.5456,-89.4287,EN59gn,CA-ON,0,0,0,0,0
CA-0244,Kakabeka Falls Provincial Park,48.4015,-89.6252,EN58ej,CA-ON,173,166,5418,0,0
CA-0245,Kama Hills Provincial Park,49.012,-88.0066,EN59xa,CA-ON,1,1,16,0,0
CA-0246,Kap-Kig-Iwan Provincial Park,47.8012,-79.8792,FN07bt,CA-ON,4,4,118,0,0
CA-0247,Kashabowie Provincial Park,48.6914,-90.3475,EN48tq,CA-ON,1,1,45,0,0
CA-0248,Kawartha Highlands Provincial Park,44.6946,-78.1458,FN04wq,CA-ON,39,37,1326,0,0
CA-0249,Kenny Forest Provincial Park,46.7255,-79.6945,FN06dr,CA-ON,1,1,28,0,0
CA-0250,Kesagami Provincial Park,50.3684,-80.1957,EO90vi,CA-ON,0,0,0,0,0
CA-0251,Kettle Lakes Provincial Park,48.5723,-80.8919,EN98nn,CA-ON,35,29,1552,0,0
CA-0252,Killarney Provincial Park,46.0126,-81.4019,EN96ha,CA-ON,12,11,319,0,0
CA-0253,Killarney Lakelands and Headwaters Provincial Park,46.2368,-81.4021,EN96hf,CA-ON,3,3,84,0,0
CA-0254,Killbear Provincial Park,45.3447,-80.188,EN95vi,CA-ON,46,41,2521,0,2
CA-0255,Komoka Provincial Park,42.9505,-81.3951,EN92hw,CA-ON,26,26,1485,0,0
CA-0256,Kopka River Provincial Park,50.0107,-89.4464,EO50ga,CA-ON,0,0,0,0,0
CA-0257,La Cloche Provincial Park,46.1084,-82.0293,EN86xc,CA-ON,3,3,123,0,0
CA-0258,La Motte Lake Provincial Park,47.7365,-81.6552,EN97er,CA-ON,3,3,99,0,0
CA-0259,La Verendrye Provincial Park,48.1408,-90.451,EN48sd,CA-ON,25,24,499,0,0
CA-0260,Lady Evelyn-Smoothwater Provincial Park,47.3861,-80.529,EN97rj,CA-ON,0,0,0,0,0
CA-0261,Lake Abitibi Islands Provincial Park,48.7339,-79.7748,FN08cr,CA-ON,0,0,0,0,0
CA-0262,Lake Nipigon Provincial Park,49.4837,-88.1326,EN59wl,CA-ON,0,0,0,0,0
CA-0263,Lake of the Woods Provincial Park,49.0825,-94.554,EN29rb,CA-ON,0,0,0,0,0
CA-0264,Lake on the Mountain Provincial Park,44.04,-77.0565,FN14la,CA-ON,31,29,863,0,0
CA-0265,Lake St. Peter Provincial Park,45.3198,-78.0231,FN05xh,CA-ON,18,14,606,0,0
CA-0266,Lake Superior Provincial Park,47.723,-84.8118,EN77or,CA-ON,36,30,876,0,0
CA-0267,Larder River Provincial Park,47.9261,-79.6576,FN07ew,CA-ON,1,1,25,0,0
